_id/$oid,bestsellers_date/$date/$numberLong,published_date/$date/$numberLong,amazon_product_url,author,description,price/$numberInt,publisher,title,rank/$numberInt,rank_last_week/$numberInt,weeks_on_list/$numberInt,price/$numberDouble
5b4aa4ead3089013507dd091,1451692800000,1452988800000,http://www.amazon.com/Rogue-Lawyer-John-Grisham-ebook/dp/B00UEKRTW8?tag=NYTBS-20,John Grisham,The attorney Sebastian Rudd is a “lone gunman” who hates injustice and the system and defends unpopular clients.,0,Doubleday,ROGUE LAWYER,3,1,11,
5b4aa4ead3089013507dd092,1451692800000,1452988800000,http://www.amazon.com/See-Me-Nicholas-Sparks/dp/1455520616?tag=NYTBS-20,Nicholas Sparks,A couple in love are threatened by secrets from the past.,0,Grand Central,SEE ME,4,5,12,
5b4aa4ead3089013507dd093,1451692800000,1452988800000,http://www.amazon.com/The-Bazaar-Bad-Dreams-Stories-ebook/dp/B00UDCI1AG?tag=NYTBS-20,Stephen King,"Twenty stories, some never before published.",0,Scribner,THE BAZAAR OF BAD DREAMS,5,6,9,
5b4aa4ead3089013507dd094,1451692800000,1452988800000,http://www.amazon.com/The-Nightingale-Kristin-Hannah/dp/0312577222?tag=NYTBS-20,Kristin Hannah,"Two sisters in World War II France: one struggling to survive in the countryside, the other joining the Resistance in Paris.",0,St. Martin's,THE NIGHTINGALE,6,10,44,
5b4aa4ead3089013507dd095,1451692800000,1452988800000,http://www.amazon.com/Cross-Justice-Alex-James-Patterson/dp/0316407046?tag=NYTBS-20,James Patterson,"Detective Alex Cross returns to Starksville, N.C., his hometown, for the first time in 35 years, to help a cousin who has been accused of murder.",0,"Little, Brown",CROSS JUSTICE,7,2,6,
5b4aa4ead3089013507dd096,1451692800000,1452988800000,http://www.amazon.com/Guilty-Will-Robie-David-Baldacci/dp/1455586439?tag=NYTBS-20,David Baldacci,The government hit man Will Robie investigates murder charges against his estranged father in their Mississippi hometown.,0,Grand Central,THE GUILTY,8,8,7,
5b4aa4ead3089013507dd097,1451692800000,1452988800000,http://www.amazon.com/Go-Set-Watchman-A-Novel/dp/0062409859?tag=NYTBS-20,Harper Lee,"In the mid-1950s, a grown-up Jean Louise Finch returns home to find that her adored father is not as perfect as she believed.",0,Harper,GO SET A WATCHMAN,9,7,24,
5b4aa4ead3089013507dd098,1451692800000,1452988800000,http://www.amazon.com/The-Magic-Strings-Frankie-Presto/dp/0062294415?tag=NYTBS-20,Mitch Albom,A mystical tale of a guitar genius’s journey through 20th-century music.,0,Harper,THE MAGIC STRINGS OF FRANKIE PRESTO,10,9,8,
5b4aa4ead3089013507dd099,1451692800000,1452988800000,http://www.amazon.com/Tom-Clancy-Commander-Chief-Novel/dp/0399176764?tag=NYTBS-20,Mark Greaney,"President Jack Ryan detects a pattern in outbreaks of violence around the world that point to the Russian president, but he must unite the Western allies before he can take action. Clancy died in 2013.",0,Putnam,TOM CLANCY: COMMANDER IN CHIEF,11,11,5,
5b4aa4ead3089013507dd09a,1451692800000,1452988800000,http://www.amazon.com/Tricky-Twenty-Two-Stephanie-Plum-Novel-ebook/dp/B00TND3N7C?tag=NYTBS-20,Janet Evanovich,The New Jersey bounty hunter Stephanie Plum pursues a fraternity member arrested for beating up a college dean and investigates a murder.,0,Bantam,TRICKY TWENTY-TWO,12,12,7,
5b4aa4ead3089013507dd09b,1451692800000,1452988800000,http://www.amazon.com/Ashley-Bell-Novel-Dean-Koontz-ebook/dp/B00VCZOKM6?tag=NYTBS-20,Dean Koontz,"A young Southern California writer who survived a fatal diagnosis sets out to find a woman she has been told she must save, overcoming many obstacles in the process.",0,Bantam,ASHLEY BELL,13,13,4,
5b4aa4ead3089013507dd09c,1451692800000,1452988800000,http://www.amazon.com/Fates-Furies-Novel-Lauren-Groff/dp/1594634475?tag=NYTBS-20,Lauren Groff,A marriage viewed from two perspectives.,0,Riverhead,FATES AND FURIES,14,0,4,
5b4aa4ead3089013507dd09d,1451692800000,1452988800000,http://www.amazon.com/The-Girl-Spiders-Web-continuing/dp/0385354282?tag=NYTBS-20,David Lagercrantz,Mikael Blomkvist and Lisbeth Salander are back in this continuation of Stieg Larsson’s Millennium series.,0,Knopf,THE GIRL IN THE SPIDER'S WEB,15,14,12,
5b4aa4ead3089013507dd09e,1451692800000,1452988800000,http://www.amazon.com/Knight-Seven-Kingdoms-Song-Fire/dp/0345533488?tag=NYTBS-20,George R R Martin,A collection of three official prequels to “A Song of Ice and Fire.”,0,Bantam,A KNIGHT OF THE SEVEN KINGDOMS,16,15,9,
5b4aa4ead3089013507dd09f,1451692800000,1452988800000,http://www.amazon.com/The-Crossing-Harry-Bosch-Novel-ebook/dp/B00U6DNZOY?tag=NYTBS-20,Michael Connelly,"The retired detective Harry Bosch reluctantly agrees to help his half brother, a defense attorney.",0,"Little, Brown",THE CROSSING,17,0,0,
5b4aa4ead3089013507dd0a0,1451692800000,1452988800000,http://www.amazon.com/The-Japanese-Lover-A-Novel-ebook/dp/B00URY5CE8?tag=NYTBS-20,Isabel Allende,"A young refugee from the Nazis and the son of her family’s Japanese gardener must hide their love, although it lasts a lifetime.",0,Atria,THE JAPANESE LOVER,18,0,0,
5b4aa4ead3089013507dd0a1,1451692800000,1452988800000,http://www.amazon.com/A-Little-Life-Hanya-Yanagihara/dp/0804172706?tag=NYTBS-20,Hanya Yanagihara,"Four college friends, one with a traumatic past, move to New York seeking fame and fortune.",0,Doubleday,A LITTLE LIFE,19,0,0,
5b4aa4ead3089013507dd0a2,1451692800000,1452988800000,http://www.amazon.com/After-Alice-Novel-Gregory-Maguire/dp/0060548959?tag=NYTBS-20,Gregory Maguire,,0,Morrow,AFTER ALICE,20,0,0,
5b4aa4ead3089013507dd0a3,1452297600000,1453593600000,http://www.amazon.com/The-Force-Awakens-Star-Wars/dp/1101965495?tag=NYTBS-20,Alan Dean Foster,"Three decades after the defeat of the Galactic Empire, a new threat arises; an adaptation of the screenplay of the new “Star Wars” movie.",0,Del Rey,THE FORCE AWAKENS,1,0,1,
5b4aa4ead3089013507dd0a4,1452297600000,1453593600000,http://www.amazon.com/The-Girl-Train-A-Novel-ebook/dp/B00L9B7IKE?tag=NYTBS-20,Paula Hawkins,A psychological thriller set in the environs of London.,0,Riverhead,THE GIRL ON THE TRAIN,2,2,52,
5b4aa4ead3089013507dd0a5,1452297600000,1453593600000,http://www.amazon.com/All-Light-We-Cannot-See/dp/1476746583?tag=NYTBS-20,Anthony Doerr,The lives of a blind French girl and a gadget-obsessed German boy before and during World War II.  ,0,Scribner,ALL THE LIGHT WE CANNOT SEE,3,1,88,
5b4aa4ead3089013507dd0a6,1452297600000,1453593600000,http://www.amazon.com/Rogue-Lawyer-John-Grisham-ebook/dp/B00UEKRTW8?tag=NYTBS-20,John Grisham,The attorney Sebastian Rudd is a “lone gunman” who hates injustice and the system and defends unpopular clients.,0,Doubleday,ROGUE LAWYER,4,3,12,
5b4aa4ead3089013507dd0a7,1452297600000,1453593600000,http://www.amazon.com/The-Nightingale-Kristin-Hannah/dp/0312577222?tag=NYTBS-20,Kristin Hannah,"Two sisters in World War II France: one struggling to survive in the countryside, the other joining the Resistance in Paris.",0,St. Martin's,THE NIGHTINGALE,5,6,45,
5b4aa4ead3089013507dd0a8,1452297600000,1453593600000,http://www.amazon.com/See-Me-Nicholas-Sparks/dp/1455520616?tag=NYTBS-20,Nicholas Sparks,A couple in love are threatened by secrets from the past.,0,Grand Central,SEE ME,6,4,13,
5b4aa4ead3089013507dd0a9,1452297600000,1453593600000,http://www.amazon.com/Cross-Justice-Alex-James-Patterson/dp/0316407046?tag=NYTBS-20,James Patterson,"Detective Alex Cross returns to Starksville, N.C., his hometown, for the first time in 35 years, to help a cousin who has been accused of murder.",0,"Little, Brown",CROSS JUSTICE,7,7,7,
